               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07396,            0.030131,            0.026147,           0.0045343,             0.19444,            0.045704,            0.020452,            0.020345,            0.020187,            0.014253,              0.0982,              0.0002,              0.0002
                   1,            0.071464,             0.03004,             0.02601,           0.0046497,             0.19444,            0.069959,            0.025319,            0.020567,            0.018791,             0.01415,             0.09549,           0.0004901,           0.0004901
                   2,            0.067787,            0.028022,            0.025771,           0.0041741,             0.27778,            0.068623,            0.032304,            0.021422,            0.017339,            0.013958,            0.092768,          0.00076832,          0.00076832
                   3,            0.061208,            0.029647,            0.026205,           0.0041343,             0.31944,            0.083361,            0.025299,            0.021523,            0.015973,            0.013496,            0.090035,           0.0010347,           0.0010347
                   4,            0.062199,            0.030486,            0.024427,           0.0039789,             0.31944,             0.11521,            0.027835,            0.021789,            0.015195,            0.012958,            0.087289,           0.0012891,           0.0012891
                   5,            0.052318,            0.027591,             0.02415,           0.0034712,             0.40278,            0.049617,            0.010597,            0.023588,            0.014417,            0.012495,            0.084532,           0.0015317,           0.0015317
                   6,            0.044363,            0.025634,            0.020906,           0.0023752,             0.45833,            0.048165,           0.0072629,            0.025918,             0.01359,            0.012063,            0.081762,           0.0017624,           0.0017624
                   7,            0.051074,            0.030873,            0.022765,           0.0021699,             0.56944,            0.025341,            0.012398,            0.027312,            0.013015,            0.011888,            0.078981,           0.0019812,           0.0019812
                   8,            0.051983,            0.024814,            0.026608,           0.0032211,                   1,            0.033223,            0.014628,            0.025744,            0.011775,            0.010853,            0.076188,           0.0021882,           0.0021882
                   9,            0.046555,            0.027129,            0.022475,           0.0029749,             0.83333,             0.12239,            0.037605,            0.026187,            0.011298,            0.010695,            0.073383,           0.0023832,           0.0023832
                  10,            0.049389,            0.027352,             0.02264,           0.0032102,                   1,             0.19517,             0.11386,            0.025379,            0.010542,            0.010987,            0.070566,           0.0025664,           0.0025664
                  11,            0.043656,            0.025239,            0.021671,           0.0031798,                   1,              0.2124,             0.18393,             0.02555,            0.010134,            0.010963,            0.067738,           0.0027377,           0.0027377
                  12,            0.042906,            0.028667,            0.021291,           0.0031407,                   1,              0.2487,             0.20009,            0.025462,           0.0095922,            0.010458,            0.064897,           0.0028971,           0.0028971
                  13,            0.038872,            0.027966,            0.019485,              0.2267,                0.25,             0.34575,             0.21157,            0.022806,           0.0091188,            0.010431,            0.062045,           0.0030447,           0.0030447
                  14,            0.035442,            0.022462,            0.018759,             0.45789,              0.1392,             0.50182,             0.31817,            0.021767,           0.0083352,            0.010194,             0.05918,           0.0031803,           0.0031803
                  15,            0.030431,            0.022996,            0.017478,             0.45821,             0.19444,             0.53678,             0.31991,            0.021127,            0.007998,            0.010116,            0.056304,           0.0033041,           0.0033041
                  16,            0.044802,             0.02257,            0.020018,             0.52039,             0.43727,              0.5246,             0.24164,            0.020904,           0.0074456,            0.010174,            0.053416,            0.003416,            0.003416
                  17,            0.035638,            0.024046,            0.019351,             0.53591,             0.34809,              0.5016,             0.36601,            0.017158,           0.0071841,           0.0097949,            0.050516,            0.003516,            0.003516
                  18,            0.035073,            0.025156,            0.017694,              0.5159,             0.22418,             0.19338,             0.11174,            0.025991,           0.0069394,           0.0092479,            0.047604,           0.0036042,           0.0036042
                  19,             0.03752,            0.022114,            0.015566,             0.56126,             0.32186,             0.44029,             0.39369,            0.020468,           0.0070836,           0.0093115,             0.04468,           0.0036804,           0.0036804
                  20,            0.036311,             0.02019,            0.019293,             0.45259,             0.47222,             0.54291,             0.35836,             0.01633,           0.0071576,           0.0091588,            0.041745,           0.0037448,           0.0037448
                  21,            0.031439,            0.022438,            0.015146,             0.26346,                0.75,             0.46998,             0.24658,              0.0186,           0.0075045,           0.0095486,            0.038797,           0.0037973,           0.0037973
                  22,            0.035294,            0.019378,            0.016565,             0.19009,             0.67276,             0.53565,               0.438,            0.013876,            0.007412,           0.0097799,            0.035838,           0.0038379,           0.0038379
                  23,            0.028046,            0.021441,            0.013402,             0.44708,             0.58333,             0.49694,               0.261,            0.014838,           0.0072464,           0.0091714,            0.032867,           0.0038667,           0.0038667
                  24,            0.036158,            0.020217,            0.013973,               0.449,             0.79167,             0.63618,             0.57431,            0.013332,            0.007297,           0.0085499,            0.029884,           0.0038835,           0.0038835
                  25,            0.038168,            0.020988,            0.013698,             0.59549,             0.45833,             0.59481,             0.18486,             0.01793,           0.0069391,            0.007793,            0.026888,           0.0038885,           0.0038885
                  26,             0.03549,            0.020203,            0.015326,             0.72801,             0.41667,              0.6622,             0.56755,            0.013394,           0.0065671,           0.0072888,            0.023882,           0.0038816,           0.0038816
                  27,            0.032598,            0.020093,            0.012383,             0.96302,             0.41036,             0.67283,              0.3606,            0.019794,           0.0063906,           0.0067987,            0.020863,           0.0038628,           0.0038628
                  28,            0.036223,            0.021832,            0.014422,             0.96302,             0.41036,             0.67283,              0.3606,            0.019794,           0.0063906,           0.0067987,            0.017832,           0.0038322,           0.0038322
                  29,            0.033429,            0.021059,            0.015128,             0.74111,             0.57028,             0.62492,             0.42238,            0.014217,           0.0060196,           0.0067754,             0.01479,           0.0037896,           0.0037896
                  30,            0.032073,             0.02081,            0.013257,             0.80864,             0.58493,             0.72135,              0.4618,            0.016427,           0.0058246,           0.0067991,            0.011735,           0.0037352,           0.0037352
                  31,             0.03188,            0.019143,            0.012613,              0.7144,             0.54167,             0.63987,             0.45235,            0.014545,           0.0055179,           0.0065688,           0.0086689,           0.0036689,           0.0036689
                  32,            0.031442,            0.018154,            0.010317,              0.7144,             0.54167,             0.63987,             0.45235,            0.014545,           0.0055179,           0.0065688,           0.0055907,           0.0035907,           0.0035907
                  33,            0.034127,            0.018674,            0.012624,             0.94138,             0.52715,             0.85237,             0.58167,            0.011132,           0.0051896,            0.006541,            0.003466,            0.003466,            0.003466
                  34,            0.030955,            0.017795,            0.014402,             0.48289,             0.79167,             0.69711,             0.35267,            0.019251,           0.0049524,           0.0064484,            0.003466,            0.003466,            0.003466
                  35,            0.028151,            0.016722,           0.0098356,             0.62802,             0.66667,             0.76881,             0.45899,            0.015495,           0.0048773,           0.0063096,            0.003268,            0.003268,            0.003268
                  36,            0.029272,             0.01979,            0.012129,             0.62802,             0.66667,             0.76881,             0.45899,            0.015495,           0.0048773,           0.0063096,             0.00307,             0.00307,             0.00307
                  37,            0.030066,            0.021008,            0.010985,             0.57822,             0.79167,             0.79276,             0.54457,            0.013632,           0.0049178,           0.0061903,            0.002872,            0.002872,            0.002872
                  38,             0.02533,            0.017511,            0.011913,             0.77026,             0.66667,             0.81506,             0.42453,            0.014054,           0.0050151,           0.0060869,            0.002674,            0.002674,            0.002674
                  39,            0.025965,            0.016985,           0.0089478,             0.64564,             0.66667,             0.77528,              0.5147,            0.012501,           0.0052516,           0.0059206,            0.002476,            0.002476,            0.002476
                  40,            0.030687,            0.019844,           0.0085812,             0.64564,             0.66667,             0.77528,              0.5147,            0.012501,           0.0052516,           0.0059206,            0.002278,            0.002278,            0.002278
                  41,            0.022054,            0.017439,           0.0087204,             0.73189,              0.6114,             0.75767,             0.49292,            0.012954,           0.0053437,           0.0058644,             0.00208,             0.00208,             0.00208
                  42,            0.026068,            0.020317,           0.0094515,             0.63975,             0.83333,             0.80452,             0.44919,            0.012003,           0.0055047,           0.0058446,            0.001882,            0.001882,            0.001882
